algorithm;number of elements;time spent
heap_sort;10000;0.001777
heap_sort;10000;0.001688
heap_sort;10000;0.001647
heap_sort;10000;0.001809
heap_sort;10000;0.001652
heap_sort;10000;0.001679
heap_sort;10000;0.001660
heap_sort;10000;0.002240
heap_sort;10000;0.001671
heap_sort;10000;0.001717
heap_sort;10000;0.001804
heap_sort;10000;0.001866
heap_sort;10000;0.001828
heap_sort;10000;0.001668
heap_sort;10000;0.001660
heap_sort;10000;0.002886
heap_sort;10000;0.001723
